,number of times in sample,structure
0,3662794,[]
1,2551539,[_[]_]
2,733978,[][]
3,628330,[_[]]
4,621900,[[]_]
5,279631,[_[_[]_]_]
6,110009,[_[_[]]_]
7,109781,[_[_[]_]]
8,109325,[_[[]_]_]
9,108399,[[_[]_]_]
10,45157,[_[_[]]]
11,43797,[[[]_]_]
12,33756,[_[[]_]]
13,33697,[[_[]]_]
14,31544,[][_[]_]
15,30646,[_[]_][]
16,15872,[][_[]]
17,15479,[[]_][]
18,15476,[_[]][]
19,15453,[][[]_]
20,3473,[_[_[_[]_]_]_]
21,2511,[_[_[_[]_]]_]
22,2475,[_[[_[]_]_]_]
23,2213,[_[_[[]_]_]_]
24,2162,[_[_[_[]]_]_]
25,2160,[_[_[_[]_]_]]
26,2145,[[_[_[]_]_]_]
27,1547,[_[[[]_]_]_]
28,1424,[_[_[_[]]]_]
29,1409,[[[_[]_]_]_]
30,1405,[_[_[_[]_]]]
31,1250,[[_[[]_]_]_]
32,1181,[_[_[_[]]_]]
33,1169,[_[_[[]_]_]]
34,1122,[[_[_[]]_]_]
35,1108,[_[[_[]_]_]]
36,1067,[_[[_[]]_]_]
37,1055,[_[_[[]_]]_]
38,1040,[[_[_[]_]]_]
39,852,[_[_[_[]]]]
40,832,[[[[]_]_]_]
41,827,[[][]]
42,616,[_[_[[]_]]]
43,606,[_[[[]_]_]]
44,596,[[_[_[]]]_]
45,586,[[[_[]]_]_]
46,428,[_[[_[]]_]]
47,408,[[_[[]_]]_]
48,144,[][][]
49,117,[_[]_][_[]_]
50,91,[[]_][_[]_]
51,87,[_[]][_[]_]
52,77,[_[]_][_[]]
53,75,[_[]_][[]_]
54,66,[_[_[]]_][]
55,65,[[]_][_[]]
56,64,[][_[[]_]_]
57,63,[_[]][[]_]
58,62,[_[]][_[]]
59,59,[[]_][[]_]
60,57,[][_[_[]_]_]
61,56,[_[_[]_]][]
62,55,[][_[_[]_]]
63,53,[][_[_[]]_]
64,53,[[_[]_]_][]
65,52,[_[_[]_]_][]
66,50,[_[[]_]_][]
67,49,[][[_[]_]_]
68,46,[[[]_]_][]
69,41,[][[[]_]_]
70,38,[][_[_[]]]
71,37,[][[_[]]_]
72,36,[_[_[]]][]
73,31,[_[[]_]][]
74,25,[][_[[]_]]
75,24,[[_[]]_][]
76,5,[_[_[_[_[]_]]]]
77,5,[_[[_[_[]]_]_]_]
78,5,[_[_[_[_[]]]]_]
79,5,[_[_[_[_[]]_]_]_]
80,5,[[[_[_[]]_]_]_]
81,4,[[[[_[]_]_]_]_]
82,4,[_[[[_[]]_]_]_]
83,4,[_[[[_[]_]_]_]_]
84,3,[_[_[_[_[]_]]]_]
85,3,[_[[_[[]_]_]_]]
86,3,[[_[_[_[]]]]_]
87,3,[_[_[_[_[]_]]_]_]
88,3,[_[[[_[]_]_]_]]
89,3,[[_[_[_[]_]]_]_]
90,3,[_[_[_[_[]]]_]]
91,2,[_[[_[_[]_]]_]_]
92,2,[[_[_[_[]_]_]_]_]
93,2,[_[_[[[]_]_]_]]
94,2,[_[_[_[_[]_]]_]]
95,2,[[[_[[]_]_]_]_]
96,2,[_[_[_[[]_]]_]_]
97,2,[[_[[_[]_]_]_]_]
98,2,[_[_[[_[]_]_]_]]
99,2,[_[_[_[[]_]_]_]_]
100,2,[_[_[[_[]_]_]_]_]
101,2,[_[[[[]_]_]_]]
102,2,[[_[_[_[]_]_]]_]
103,2,[[_[_[[]_]_]_]_]
104,2,[_[_[_[_[]]_]]_]
105,2,[[_[_[_[]]_]]_]
106,2,[_[_[[_[]_]_]]]
107,2,[_[_[[[]_]_]_]_]
108,2,[_[_[_[_[]]]_]_]
109,1,[_[[_[_[]_]]_]]
110,1,[[_[[_[]_]_]]_]
111,1,[[[_[[]_]]_]_]
112,1,[_[_[_[[]_]_]]]
113,1,[_[_[_[[]_]]]_]
114,1,[[][_[]_]]
115,1,[_[_[_[_[]_]_]]]
116,1,[_[[_[[]_]_]_]_]
117,1,[_[_[_[_[]_]_]]_]
118,1,[[_[_[_[]_]]]_]
119,1,[_[_[[[]_]_]]_]
120,1,[_[_[_[_[]_]_]_]_]
121,1,[[_[_[[]_]]]_]
122,1,[][][[]_]
123,1,[[_[_[[]_]]_]_]
124,1,[_[[[[]_]_]_]_]
125,1,[_[_[[_[]_]_]]_]
126,1,[_[_[_[[]_]]]]
127,1,[[_[[_[]]_]]_]
128,1,[_[[_[_[]]_]_]]
129,1,[[_[]_][]]
130,1,[[[_[_[]]]_]_]
131,1,[_[_[_[[]_]_]_]]
132,1,[[_[_[_[]]]_]_]
133,1,[_[_[_[_[]]]]]
134,1,[[[]_][]]
135,1,[_[_[_[_[]]_]]]
136,1,[_[_[_[[]_]]_]]
137,1,[[_[[_[]]_]_]_]
138,1,[[[_[_[]_]_]_]_]
139,1,[[[]_]_][_[]]
140,1,[_[_[[_[]]_]]_]
141,1,[_[[][]]_]
142,1,[_[_[[_[]]_]_]]
143,1,[[[_[_[]_]]_]_]
144,1,[_[_[[[]_]_]]]
145,1,[[_[_[_[]]_]_]_]
